year,age,pasfr,tfr
2025,10,0.000151,3.091667
2025,11,0.002002,3.091667
2025,12,0.011873,3.091667
2025,13,0.054322,3.091667
2025,14,0.156046,3.091667
2025,15,0.370993,3.091667
2025,16,0.764589,3.091667
2025,17,1.351626,3.091667
2025,18,2.104124,3.091667
2025,19,2.881552,3.091667
2025,20,3.6349,3.091667
2025,21,4.292976,3.091667
2025,22,4.831482,3.091667
2025,23,5.218048,3.091667
2025,24,5.445874,3.091667
2025,25,5.519964,3.091667
2025,26,5.454815,3.091667
2025,27,5.33616,3.091667
2025,28,5.181665,3.091667
2025,29,4.985716,3.091667
2025,30,4.744761,3.091667
2025,31,4.507839,3.091667
2025,32,4.278521,3.091667
2025,33,4.08456,3.091667
2025,34,3.912974,3.091667
2025,35,3.700812,3.091667
2025,36,3.392529,3.091667
2025,37,3.051639,3.091667
2025,38,2.683608,3.091667
2025,39,2.272213,3.091667
2025,40,1.798929,3.091667
2025,41,1.383882,3.091667
2025,42,1.008754,3.091667
2025,43,0.690039,3.091667
2025,44,0.433499,3.091667
2025,45,0.244526,3.091667
2025,46,0.128677,3.091667
2025,47,0.056413,3.091667
2025,48,0.019313,3.091667
2025,49,0.003097,3.091667
2025,50,0.000886,3.091667
2025,51,0.001018,3.091667
2025,52,0.001049,3.091667
2025,53,0.001076,3.091667
2025,54,0.000507,3.091667
2026,10,0.000152,3.060043
2026,11,0.002023,3.060043
2026,12,0.011996,3.060043
2026,13,0.054883,3.060043
2026,14,0.157659,3.060043
2026,15,0.374827,3.060043
2026,16,0.77249,3.060043
2026,17,1.363749,3.060043
2026,18,2.117898,3.060043
2026,19,2.894686,3.060043
2026,20,3.645567,3.060043
2026,21,4.301464,3.060043
2026,22,4.838604,3.060043
2026,23,5.224782,3.060043
2026,24,5.453036,3.060043
2026,25,5.527626,3.060043
2026,26,5.462674,3.060043
2026,27,5.34381,3.060043
2026,28,5.18863,3.060043
2026,29,4.99131,3.060043
2026,30,4.748198,3.060043
2026,31,4.508827,3.060043
2026,32,4.276865,3.060043
2026,33,4.080782,3.060043
2026,34,3.907576,3.060043
2026,35,3.693905,3.060043
2026,36,3.383537,3.060043
2026,37,3.04089,3.060043
2026,38,2.671503,3.060043
2026,39,2.258927,3.060043
2026,40,1.784258,3.060043
2026,41,1.369779,3.060043
2026,42,0.996374,3.060043
2026,43,0.679897,3.060043
2026,44,0.425851,3.060043
2026,45,0.239604,3.060043
2026,46,0.125525,3.060043
2026,47,0.054534,3.060043
2026,48,0.018278,3.060043
2026,49,0.002768,3.060043
2026,50,0.000775,3.060043
2026,51,0.000952,3.060043
2026,52,0.000996,3.060043
2026,53,0.001033,3.060043
2026,54,5e-04,3.060043
2027,10,0.000154,3.030311
2027,11,0.002043,3.030311
2027,12,0.012113,3.030311
2027,13,0.055422,3.030311
2027,14,0.159206,3.030311
2027,15,0.378505,3.030311
2027,16,0.78007,3.030311
2027,17,1.375469,3.030311
2027,18,2.131099,3.030311
2027,19,2.907133,3.030311
2027,20,3.65551,3.030311
2027,21,4.309243,3.030311
2027,22,4.845074,3.030311
2027,23,5.230954,3.030311
2027,24,5.459753,3.030311
2027,25,5.53498,3.030311
2027,26,5.470379,3.030311
2027,27,5.351444,3.030311
2027,28,5.195699,3.030311
2027,29,4.997106,3.030311
2027,30,4.751922,3.030311
2027,31,4.510157,3.030311
2027,32,4.275584,3.030311
2027,33,4.077386,3.030311
2027,34,3.90255,3.030311
2027,35,3.687347,3.030311
2027,36,3.374882,3.030311
2027,37,3.030467,3.030311
2027,38,2.659716,3.030311
2027,39,2.245965,3.030311
2027,40,1.769947,3.030311
2027,41,1.356032,3.030311
2027,42,0.984318,3.030311
2027,43,0.670038,3.030311
2027,44,0.418441,3.030311
2027,45,0.234851,3.030311
2027,46,0.122497,3.030311
2027,47,0.052748,3.030311
2027,48,0.017315,3.030311
2027,49,0.002478,3.030311
2027,50,0.000679,3.030311
2027,51,0.000892,3.030311
2027,52,0.000946,3.030311
2027,53,0.000993,3.030311
2027,54,0.000494,3.030311
2028,10,0.000155,3.001432
2028,11,0.002062,3.001432
2028,12,0.01223,3.001432
2028,13,0.055955,3.001432
2028,14,0.160738,3.001432
2028,15,0.382147,3.001432
2028,16,0.787575,3.001432
2028,17,1.386777,3.001432
2028,18,2.143721,3.001432
2028,19,2.91889,3.001432
2028,20,3.664708,3.001432
2028,21,4.316294,3.001432
2028,22,4.850874,3.001432
2028,23,5.236544,3.001432
2028,24,5.466003,3.001432
2028,25,5.542006,3.001432
2028,26,5.477911,3.001432
2028,27,5.359043,3.001432
2028,28,5.202854,3.001432
2028,29,5.003088,3.001432
2028,30,4.755916,3.001432
2028,31,4.511814,3.001432
2028,32,4.274661,3.001432
2028,33,4.074359,3.001432
2028,34,3.897881,3.001432
2028,35,3.681122,3.001432
2028,36,3.366549,3.001432
2028,37,3.020356,3.001432
2028,38,2.648235,3.001432
2028,39,2.233314,3.001432
2028,40,1.755985,3.001432
2028,41,1.342628,3.001432
2028,42,0.972576,3.001432
2028,43,0.660453,3.001432
2028,44,0.411259,3.001432
2028,45,0.230261,3.001432
2028,46,0.119589,3.001432
2028,47,0.051049,3.001432
2028,48,0.016419,3.001432
2028,49,0.002223,3.001432
2028,50,0.000597,3.001432
2028,51,0.000836,3.001432
